,word,frequency,Tag of word,,,,feature,,,,
57, right,436,"(' right', 'JJ')",,,,,,,,
58, imperial,431,"(' imperial', 'JJ')",,,,,,,,
59, need,426,"(' need', 'NN')",,,,,,,,
60, which,380,"(' which', 'NNP')",,,,,,,,
61, long,375,"(' long', 'NNP')",,,,,,,,
62, would,370,"(' would', 'MD')",,,,,,,,
63, out,370,"(' out', 'VB')",,,,,,,,
64, other,370,"(' other', 'RB')",,,,,,,,
65, good,370,"(' good', 'NNP')",,,,,,,,
66, no,365,"(' no', 'NNP')",,,,,,,,
67, work,365,"(' work', 'NNP')",,,,,,,,
68, before,365,"(' before', 'RB')",,,,,,,,
69, year,360,"(' year', 'JJ')",,,,,,,,
70, up,360,"(' up', 'NNP')",,,,,,,,
71, bit,355,"(' bit', 'NNP')",,,,,,,,
72, hard,319,"(' hard', 'NNP')",,,,,,,,
73, if,314,"(' if', 'NNP')",,,,,,,,
74, by,304,"(' by', 'NNP')",,,,,,,,
75, much,304,"(' much', 'JJ')",,,,,,,,
76, an,294,"(' an', 'NNP')",,,,,,,,
77, there,294,"(' there', 'NNP')",,,,,,,,
78, month,294,"(' month', 'NNP')",,,,,,,,
79, side,289,"(' side', 'NNP')",,,,,,,,
80, great,289,"(' great', 'NNP')",,,,,,,,
81, little,289,"(' little', 'NNP')",,,,,,,,
82, back,289,"(' back', 'NNP')",,,,,,,,
83, sit,289,"(' sit', 'NNP')",,,,,,,,
84, super,284,"(' super', 'NNP')",,,,,,,,
85, short,284,"(' short', 'NNP')",,,,,,,,
86, woman,284,"(' woman', 'NNP')",,,,,,,,
87, easy,284,"(' easy', 'NNP')",,,,,,,,
88, just,248,"(' just', 'NNP')",,,,,,,,
89, even,233,"(' even', 'NNP')",,,,,,,,
90, put,233,"(' put', 'NNP')",,,,,,,,
91, say,228,"(' say', 'NNP')",,,,,,,,
92, find,223,"(' find', 'NNP')",,,,,,,,
93, never,223,"(' never', 'NNP')",,,,,,,,
94, can,223,"(' can', 'JJ')",,,,,,,,
95, issue,218,"(' issue', 'NNP')",,,,,,,,
96, treat,218,"(' treat', 'NNP')",,,,,,,,
97, another,218,"(' another', 'NNP')",,,,,,,,
98, really,218,"(' really', 'RB')",,,,,,,,
99, lot,218,"(' lot', 'VBZ')",,,,,,,,
100, without,218,"(' without', 'IN')",,,,,,,,
101, wet,218,"(' wet', 'NNP')",,,,,,,,
102, go,218,"(' go', 'NNP')",,,,,,,,
103, half,218,"(' half', 'NNP')",,,,,,,,
104, every,218,"(' every', 'NNP')",,,,,,,,
105, day,218,"(' day', 'NNP')",,,,,,,,
106, most,218,"(' most', 'NNP')",,,,,,,,
107, pain,218,"(' pain', 'NNP')",,,,,,,,
108, slide,213,"(' slide', 'NNP')",,,,,,,,
109, copper,213,"(' copper', 'NNP')",,,,,,,,
110, wow,213,"(' wow', 'NNP')",,,,,,,,
111, decide,213,"(' decide', 'NNP')",,,,,,,,
112, plan,213,"(' plan', 'NNP')",,,,,,,,
113, or,213,"(' or', 'NNP')",,,,,,,,
114, forward,213,"(' forward', 'NNP')",,,,,,,,
115, mean,213,"(' mean', 'NNP')",,,,,,,,
116, bum,213,"(' bum', 'NNP')",,,,,,,,
117, notice,213,"(' notice', 'NNP')",,,,,,,,
118, female,213,"(' female', 'NNP')",,,,,,,,
119, hurt,213,"(' hurt', 'NNP')",,,,,,,,
120, s,213,"(' s', 'NNP')",,,,,,,,
121, selle,213,"(' selle', 'NNP')",,,,,,,,
122, week,213,"(' week', 'NNP')",,,,,,,,
123, always,213,"(' always', 'VBZ')",,,,,,,,
124, these,213,"(' these', 'JJ')",,,,,,,,
125, life,213,"(' life', 'JJ')",,,,,,,,
126, century,213,"(' century', 'NN')",,,,,,,,
127, take,172,"(' take', 'NNP')",,,,,,,,
128, give,162,"(' give', 'JJ')",,,,,,,,
129, keep,157,"(' keep', 'NNP')",,,,,,,,
130, return,157,"(' return', 'NNP')",,,,,,,,
131, standard,152,"(' standard', 'NNP')",,,,,,,,
132, proofide,152,"(' proofide', 'NNP')",,,,,,,,
133, want,152,"(' want', 'NNP')",,,,,,,,
134, high,152,"(' high', 'NNP')",,,,,,,,
135, people,152,"(' people', 'NNP')",,,,,,,,
136, since,152,"(' since', 'NNP')",,,,,,,,
137, ago,152,"(' ago', 'NNP')",,,,,,,,
138, then,152,"(' then', 'NNP')",,,,,,,,
139, special,147,"(' special', 'JJ')",,,,,,,,
140, wear,147,"(' wear', 'NNP')",,,,,,,,
141, pedal,147,"(' pedal', 'NNP')",,,,,,,,
142, order,147,"(' order', 'NNP')",,,,,,,,
143, let,147,"(' let', 'NNP')",,,,,,,,
144, tell,147,"(' tell', 'NNP')",,,,,,,,
145, road,147,"(' road', 'NNP')",,,,,,,,
146, also,147,"(' also', 'NNP')",,,,,,,,
147, cover,147,"(' cover', 'NNP')",,,,,,,,
148, way,147,"(' way', 'NNP')",,,,,,,,
149, how,147,"(' how', 'NNP')",,,,,,,,
150, ever,147,"(' ever', 'NNP')",,,,,,,,
151, start,147,"(' start', 'NNP')",,,,,,,,
152, per,147,"(' per', 'NNP')",,,,,,,,
153, begin,147,"(' begin', 'NNP')",,,,,,,,
154, width,142,"(' width', 'NNP')",,,,,,,,
155, down,142,"(' down', 'NNP')",,,,,,,,
156, last,142,"(' last', 'NNP')",,,,,,,,
157, difference,142,"(' difference', 'NN')",,,,,,,,
158, frame,142,"(' frame', 'NN')",,,,,,,,
159, instal,142,"(' instal', 'JJ')",,,,,,,,
160, eyelet,142,"(' eyelet', 'NNP')",,,,,,,,
161, finish,142,"(' finish', 'NNP')",,,,,,,,
162, roadbike,142,"(' roadbike', 'NNP')",,,,,,,,
163, brown,142,"(' brown', 'NNP')",,,,,,,,
164, hesitant,142,"(' hesitant', 'NNP')",,,,,,,,
165, amazing,142,"(' amazing', 'VBG')",,,,,,,,
166, school,142,"(' school', 'JJ')",,,,,,,,
167, transport,142,"(' transport', 'NNP')",,,,,,,,
168, while,142,"(' while', 'NNP')",,,,,,,,
169, when,142,"(' when', 'NNP')",,,,,,,,
170, light,142,"(' light', 'NNP')",,,,,,,,
171, extra,142,"(' extra', 'NNP')",,,,,,,,
172, nose,142,"(' nose', 'NNP')",,,,,,,,
173, spot,142,"(' spot', 'NNP')",,,,,,,,
174, heavy,142,"(' heavy', 'NNP')",,,,,,,,
175, rivet,142,"(' rivet', 'NNP')",,,,,,,,
176, dry,142,"(' dry', 'NNP')",,,,,,,,
177, box,142,"(' box', 'NNP')",,,,,,,,
178, wrench,142,"(' wrench', 'NNP')",,,,,,,,
179, run,142,"(' run', 'NNP')",,,,,,,,
180, commute,142,"(' commute', 'NNP')",,,,,,,,
181, big,142,"(' big', 'NNP')",,,,,,,,
182, fancy,142,"(' fancy', 'NNP')",,,,,,,,
183, italia,142,"(' italia', 'NNP')",,,,,,,,
184, gel,142,"(' gel', 'NNP')",,,,,,,,
185, weight,142,"(' weight', 'NNP')",,,,,,,,
186, choice,142,"(' choice', 'NNP')",,,,,,,,
187, huge,142,"(' huge', 'NNP')",,,,,,,,
188, comfort,142,"(' comfort', 'NNP')",,,,,,,,
189, next,142,"(' next', 'NNP')",,,,,,,,
190, already,142,"(' already', 'JJ')",,,,,,,,
191, swear,142,"(' swear', 'JJ')",,,,,,,,
192, fit,142,"(' fit', 'NN')",,,,,,,,
193, probably,142,"(' probably', 'RB')",,,,,,,,
194, each,142,"(' each', 'NNP')",,,,,,,,
195, once,142,"(' once', 'NN')",,,,,,,,
196, adjust,142,"(' adjust', 'NNP')",,,,,,,,
197, man,142,"(' man', 'NNP')",,,,,,,,
198, worth,142,"(' worth', 'NNP')",,,,,,,,
199, cushy,142,"(' cushy', 'NNP')",,,,,,,,
200, few,142,"(' few', 'NNP')",,,,,,,,
201, over,142,"(' over', 'NNP')",,,,,,,,
202, area,142,"(' area', 'NNP')",,,,,,,,
203, review,101,"(' review', 'NNP')",,,,,,,,
204, all,96,"(' all', 'NNP')",,,,,,,,
205, think,96,"(' think', 'NNP')",,,,,,,,
206, still,96,"(' still', 'NNP')",,,,,,,,
207, replace,96,"(' replace', 'NNP')",,,,,,,,
208, could,86,"(' could', 'NNP')",,,,,,,,
209, change,86,"(' change', 'NNP')",,,,,,,,
210, many,86,"(' many', 'NNP')",,,,,,,,
211, uncomfortable,86,"(' uncomfortable', 'JJ')",,,,,,,,
212, completely,86,"(' completely', 'RB')",,,,,,,,
213, condition,86,"(' condition', 'JJ')",,,,,,,,
214, couple,81,"(' couple', 'JJ')",,,,,,,,
215, sure,81,"(' sure', 'NN')",,,,,,,,
216, come,81,"(' come', 'VBZ')",,,,,,,,
217, post,81,"(' post', 'RBS')",,,,,,,,
218, any,81,"(' any', 'JJ')",,,,,,,,
219, purchase,81,"(' purchase', 'NN')",,,,,,,,
220, both,81,"(' both', 'NNP')",,,,,,,,
221, some,81,"(' some', 'NNP')",,,,,,,,
222, though,81,"(' though', 'NNP')",,,,,,,,
223, anyone,81,"(' anyone', 'NNP')",,,,,,,,
224, price,81,"(' price', 'NNP')",,,,,,,,
225, period,81,"(' period', 'NNP')",,,,,,,,
226, try,81,"(' try', 'NNP')",,,,,,,,
227, mold,81,"(' mold', 'VBD')",,,,,,,,
228, yes,81,"(' yes', 'NNP')",,,,,,,,
229, until,81,"(' until', 'NNP')",,,,,,,,
230, product,81,"(' product', 'NNP')",,,,,,,,
231, know,81,"(' know', 'NNP')",,,,,,,,
232, stuff,76,"(' stuff', 'NNP')",,,,,,,,
233, cause,76,"(' cause', 'NNP')",,,,,,,,
234, now,76,"(' now', 'NNP')",,,,,,,,
235, regret,76,"(' regret', 'NNP')",,,,,,,,
236, lace,76,"(' lace', 'NNP')",,,,,,,,
237, c,76,"(' c', 'NNP')",,,,,,,,
238, new,76,"(' new', 'NNP')",,,,,,,,
239, less,76,"(' less', 'NNP')",,,,,,,,
240, apply,76,"(' apply', 'NNP')",,,,,,,,
241, disappointed,76,"(' disappointed', 'VBD')",,,,,,,,
242, under,76,"(' under', 'RBR')",,,,,,,,
243, currently,76,"(' currently', 'RB')",,,,,,,,
244, cut,76,"(' cut', 'JJ')",,,,,,,,
245, bicycle,76,"(' bicycle', 'NN')",,,,,,,,
246, something,76,"(' something', 'VBG')",,,,,,,,
247, hopefully,76,"(' hopefully', 'RB')",,,,,,,,
248, seem,76,"(' seem', 'VBP')",,,,,,,,
249, far,76,"(' far', 'JJ')",,,,,,,,
250, mileage,76,"(' mileage', 'NN')",,,,,,,,
251, butt,76,"(' butt', 'NNP')",,,,,,,,
252, read,76,"(' read', 'NNP')",,,,,,,,
253, future,76,"(' future', 'NN')",,,,,,,,
254, help,76,"(' help', 'NNP')",,,,,,,,
255, instead,76,"(' instead', 'NNP')",,,,,,,,
256, slip,76,"(' slip', 'NNP')",,,,,,,,
257, conditioner,76,"(' conditioner', 'NNP')",,,,,,,,
258, rain,76,"(' rain', 'NNP')",,,,,,,,
259, rider,76,"(' rider', 'NNP')",,,,,,,,
260, off,76,"(' off', 'NNP')",,,,,,,,
261, wish,76,"(' wish', 'JJ')",,,,,,,,
262, recommend,76,"(' recommend', 'NNP')",,,,,,,,
263, rock,76,"(' rock', 'NNP')",,,,,,,,
264, second,76,"(' second', 'NNP')",,,,,,,,
265, sort,76,"(' sort', 'NNP')",,,,,,,,
266, non,76,"(' non', 'NNP')",,,,,,,,
267, hour,76,"(' hour', 'NNP')",,,,,,,,
268, who,76,"(' who', 'NNP')",,,,,,,,
269, hear,76,"(' hear', 'VBP')",,,,,,,,
270, true,71,"(' true', 'JJ')",,,,,,,,
271, touring,71,"(' touring', 'VBG')",,,,,,,,
272, grant,71,"(' grant', 'JJ')",,,,,,,,
273, roughly,71,"(' roughly', 'JJ')",,,,,,,,
274, pound,71,"(' pound', 'NN')",,,,,,,,
275, measley,71,"(' measley', 'NNP')",,,,,,,,
276, weighing,71,"(' weighing', 'VBG')",,,,,,,,
277, daily,71,"(' daily', 'RB')",,,,,,,,
278, differemce,71,"(' differemce', 'NNP')",,,,,,,,
279, main,71,"(' main', 'VBP')",,,,,,,,
280, nearly,71,"(' nearly', 'JJ')",,,,,,,,
281, addition,71,"(' addition', 'NN')",,,,,,,,
282, mond,71,"(' mond', 'NN')",,,,,,,,
283, laptop,71,"(' laptop', 'NNP')",,,,,,,,
284, backpack,71,"(' backpack', 'NNP')",,,,,,,,
285, nightmare,71,"(' nightmare', 'NNP')",,,,,,,,
286, chemistry,71,"(' chemistry', 'NNP')",,,,,,,,
287, text,71,"(' text', 'NNP')",,,,,,,,
288, book,71,"(' book', 'NNP')",,,,,,,,
289, prefer,71,"(' prefer', 'NNP')",,,,,,,,
290, car,71,"(' car', 'NNP')",,,,,,,,
291, sleep,71,"(' sleep', 'NNP')",,,,,,,,
292, stress,71,"(' stress', 'NNP')",,,,,,,,
293, affix,71,"(' affix', 'NNP')",,,,,,,,
294, mens,71,"(' mens', 'VBZ')",,,,,,,,
295, worry,71,"(' worry', 'NNP')",,,,,,,,
296, too,71,"(' too', 'NNP')",,,,,,,,
297, push,71,"(' push', 'NNP')",,,,,,,,
298, real,71,"(' real', 'NNP')",,,,,,,,
299, estate,71,"(' estate', 'NNP')",,,,,,,,
300, upon,71,"(' upon', 'NNP')",,,,,,,,
301, unboxing,71,"(' unboxing', 'VBG')",,,,,,,,
302, nor,71,"(' nor', 'JJ')",,,,,,,,
303, heal,71,"(' heal', 'JJ')",,,,,,,,
304, toolbag,71,"(' toolbag', 'NN')",,,,,,,,
305, quick,71,"(' quick', 'NNP')",,,,,,,,
306, guess,71,"(' guess', 'NNP')",,,,,,,,
307, flexible,71,"(' flexible', 'JJ')",,,,,,,,
308, thin,71,"(' thin', 'NN')",,,,,,,,
309, noticeably,71,"(' noticeably', 'RB')",,,,,,,,
310, thing,71,"(' thing', 'VBG')",,,,,,,,
311, similar,71,"(' similar', 'JJ')",,,,,,,,
312, actually,71,"(' actually', 'RB')",,,,,,,,
313, dimension,71,"(' dimension', 'NNP')",,,,,,,,
314, color,71,"(' color', 'NNP')",,,,,,,,
315, bag,71,"(' bag', 'NNP')",,,,,,,,
316, tool,71,"(' tool', 'NNP')",,,,,,,,
317, tie,71,"(' tie', 'NNP')",,,,,,,,
318, inch,71,"(' inch', 'NN')",,,,,,,,
319, pleased,71,"(' pleased', 'VBD')",,,,,,,,
320, anatomic,71,"(' anatomic', 'NNP')",,,,,,,,
321, previously,71,"(' previously', 'RB')",,,,,,,,
322, perineal,71,"(' perineal', 'VBZ')",,,,,,,,
323, whether,71,"(' whether', 'JJ')",,,,,,,,
324, hesitate,71,"(' hesitate', 'NN')",,,,,,,,
325, somewhere,71,"(' somewhere', 'NNP')",,,,,,,,
326, north,71,"(' north', 'NNP')",,,,,,,,
327, dozen,71,"(' dozen', 'NNP')",,,,,,,,
328, end,71,"(' end', 'NNP')",,,,,,,,
329, damage,71,"(' damage', 'NNP')",,,,,,,,
330, finally,71,"(' finally', 'RB')",,,,,,,,
331, chance,71,"(' chance', 'NNP')",,,,,,,,
332, aerodynamic,71,"(' aerodynamic', 'NNP')",,,,,,,,
333, racing,71,"(' racing', 'VBG')",,,,,,,,
334, endurance,71,"(' endurance', 'NN')",,,,,,,,
335, shock,71,"(' shock', 'NN')",,,,,,,,
336, womans,71,"(' womans', 'NNS')",,,,,,,,
337, near,71,"(' near', 'VBP')",,,,,,,,
338, allow,71,"(' allow', 'JJ')",,,,,,,,
339, plate,71,"(' plate', 'NNP')",,,,,,,,
340, doubt,71,"(' doubt', 'NNP')",,,,,,,,
341, glad,71,"(' glad', 'NNP')",,,,,,,,
342, trigger,71,"(' trigger', 'NNP')",,,,,,,,
343, pull,71,"(' pull', 'NNP')",,,,,,,,
344, piece,71,"(' piece', 'NNP')",,,,,,,,
345, except,71,"(' except', 'NNP')",,,,,,,,
346, treatment,71,"(' treatment', 'NNP')",,,,,,,,
347, drop,71,"(' drop', 'NNP')",,,,,,,,
348, darker,71,"(' darker', 'NNP')",,,,,,,,
349, compare,71,"(' compare', 'NNP')",,,,,,,,
350, application,71,"(' application', 'NNP')",,,,,,,,
351, soak,71,"(' soak', 'NNP')",,,,,,,,
352, initially,71,"(' initially', 'RB')",,,,,,,,
353, left,71,"(' left', 'VBD')",,,,,,,,
354, switch,71,"(' switch', 'JJ')",,,,,,,,
355, rigid,71,"(' rigid', 'NNP')",,,,,,,,
356, definitely,71,"(' definitely', 'RB')",,,,,,,,
357, flex,71,"(' flex', 'JJ')",,,,,,,,
358, smooth,71,"(' smooth', 'NNP')",,,,,,,,
359, realize,71,"(' realize', 'NNP')",,,,,,,,
360, beneficial,71,"(' beneficial', 'NNP')",,,,,,,,
361, basically,71,"(' basically', 'RB')",,,,,,,,
362, zero,71,"(' zero', 'VBZ')",,,,,,,,
363, friction,71,"(' friction', 'NN')",,,,,,,,
364, matter,71,"(' matter', 'NN')",,,,,,,,
365, kind,71,"(' kind', 'NNP')",,,,,,,,
366, course,71,"(' course', 'NNP')",,,,,,,,
367, angle,71,"(' angle', 'NNP')",,,,,,,,
368, fan,71,"(' fan', 'NNP')",,,,,,,,
369, modern,71,"(' modern', 'NNP')",,,,,,,,
370, grow,71,"(' grow', 'NNP')",,,,,,,,
371, flare,71,"(' flare', 'NNP')",,,,,,,,
372, top,71,"(' top', 'NNP')",,,,,,,,
373, flat,71,"(' flat', 'NNP')",,,,,,,,
374, prematurely,71,"(' prematurely', 'RB')",,,,,,,,
375, ease,71,"(' ease', 'VBD')",,,,,,,,
376, quickly,71,"(' quickly', 'NNP')",,,,,,,,
377, highly,71,"(' highly', 'NNP')",,,,,,,,
378, slick,71,"(' slick', 'NNP')",,,,,,,,
379, naturally,71,"(' naturally', 'NNP')",,,,,,,,
380, pump,71,"(' pump', 'NNP')",,,,,,,,
381, leg,71,"(' leg', 'NNP')",,,,,,,,
382, record,71,"(' record', 'NNP')",,,,,,,,
383, morning,71,"(' morning', 'VBG')",,,,,,,,
384, mistakingly,71,"(' mistakingly', 'RB')",,,,,,,,
385, coconut,71,"(' coconut', 'JJ')",,,,,,,,
386, oil,71,"(' oil', 'NNP')",,,,,,,,
387, underside,71,"(' underside', 'NNP')",,,,,,,,
388, soften,71,"(' soften', 'NNP')",,,,,,,,
389, bright,71,"(' bright', 'NNP')",,,,,,,,
390, perfect,71,"(' perfect', 'NNP')",,,,,,,,
391, red,71,"(' red', 'VBD')",,,,,,,,
392, darken,71,"(' darken', 'NNP')",,,,,,,,
393, refreshing,71,"(' refreshing', 'VBG')",,,,,,,,
394, albeit,71,"(' albeit', 'RB')",,,,,,,,
395, hardly,71,"(' hardly', 'RB')",,,,,,,,
396, effort,71,"(' effort', 'JJ')",,,,,,,,
397, hoist,71,"(' hoist', 'NNP')",,,,,,,,
398, stair,71,"(' stair', 'NNP')",,,,,,,,
399, attach,71,"(' attach', 'NNP')",,,,,,,,
400, thomson,71,"(' thomson', 'NNP')",,,,,,,,
401, haha,71,"(' haha', 'NNP')",,,,,,,,
402, titanium,71,"(' titanium', 'NNP')",,,,,,,,
403, finely,71,"(' finely', 'RB')",,,,,,,,
404, craft,71,"(' craft', 'VBZ')",,,,,,,,
405, fault,71,"(' fault', 'NN')",,,,,,,,
406, midnight,71,"(' midnight', 'NNP')",,,,,,,,
407, rebuild,71,"(' rebuild', 'NNP')",,,,,,,,
408, slim,71,"(' slim', 'NNP')",,,,,,,,
409, wonky,71,"(' wonky', 'NNP')",,,,,,,,
410, plus,71,"(' plus', 'NNP')",,,,,,,,
411, term,71,"(' term', 'NNP')",,,,,,,,
412, cheap,71,"(' cheap', 'NNP')",,,,,,,,
413, penny,71,"(' penny', 'NNP')",,,,,,,,
414, hipped,71,"(' hipped', 'VBD')",,,,,,,,
415, average,71,"(' average', 'VB')",,,,,,,,
416, beak,71,"(' beak', 'JJ')",,,,,,,,
417, ish,71,"(' ish', 'JJ')",,,,,,,,
418, away,71,"(' away', 'NNP')",,,,,,,,
419, position,71,"(' position', 'NNP')",,,,,,,,
420, nerve,71,"(' nerve', 'NNP')",,,,,,,,
421, sharp,71,"(' sharp', 'NNP')",,,,,,,,
422, minute,71,"(' minute', 'NNP')",,,,,,,,
423, why,71,"(' why', 'NNP')",,,,,,,,
424, custom,71,"(' custom', 'NNP')",,,,,,,,
425, form,71,"(' form', 'NNP')",,,,,,,,
426, individual,71,"(' individual', 'NNP')",,,,,,,,
427, score,71,"(' score', 'VBD')",,,,,,,,
428, tear,71,"(' tear', 'JJ')",,,,,,,,
429, warehouse,71,"(' warehouse', 'IN')",,,,,,,,
430, deal,71,"(' deal', 'JJ')",,,,,,,,
431, package,71,"(' package', 'NN')",,,,,,,,
432, open,71,"(' open', 'JJ')",,,,,,,,
433, tension,71,"(' tension', 'NN')",,,,,,,,
434, oh,71,"(' oh', 'NNP')",,,,,,,,
435, wholesale,71,"(' wholesale', 'NNP')",,,,,,,,
436, cha,71,"(' cha', 'NNP')",,,,,,,,
437, ching,71,"(' ching', 'VBG')",,,,,,,,
438, live,71,"(' live', 'JJ')",,,,,,,,
439, perfectly,71,"(' perfectly', 'RB')",,,,,,,,
440, track,71,"(' track', 'VBP')",,,,,,,,
441, anything,71,"(' anything', 'VBG')",,,,,,,,
442, everybody,71,"(' everybody', 'NN')",,,,,,,,
443, it,71,"(' it', 'JJ')",,,,,,,,
444, discomfort,71,"(' discomfort', 'NNP')",,,,,,,,
445, guy,71,"(' guy', 'NNP')",,,,,,,,
446, lbs,71,"(' lbs', 'NNP')",,,,,,,,
447, fair,71,"(' fair', 'NNP')",,,,,,,,
448, amount,71,"(' amount', 'NNP')",,,,,,,,
449, include,71,"(' include', 'NNP')",,,,,,,,
450, flite,71,"(' flite', 'NNP')",,,,,,,,
451, flow,71,"(' flow', 'NNP')",,,,,,,,
452, max,71,"(' max', 'NNP')",,,,,,,,
453, ok,71,"(' ok', 'NNP')",,,,,,,,
454, despite,71,"(' despite', 'NNP')",,,,,,,,
455, dropping,71,"(' dropping', 'VBG')",,,,,,,,
456, extensive,71,"(' extensive', 'JJ')",,,,,,,,
457, risk,71,"(' risk', 'NN')",,,,,,,,
458, greatest,71,"(' greatest', 'JJS')",,,,,,,,
459, kid,71,"(' kid', 'NN')",,,,,,,,
460, my,71,"(' my', 'FW')",,,,,,,,
461, moment,71,"(' moment', 'JJ')",,,,,,,,
462, increase,71,"(' increase', 'NN')",,,,,,,,
463, sofa,71,"(' sofa', 'NNP')",,,,,,,,
464, pad,71,"(' pad', 'NNP')",,,,,,,,
465, padded,71,"(' padded', 'VBD')",,,,,,,,
466, beginning,71,"(' beginning', 'VBG')",,,,,,,,
467, sleek,71,"(' sleek', 'JJ')",,,,,,,,
468, multiple,71,"(' multiple', 'JJ')",,,,,,,,
469, compliment,71,"(' compliment', 'JJ')",,,,,,,,
470, cool,71,"(' cool', 'NN')",,,,,,,,
471, answer,71,"(' answer', 'NNP')",,,,,,,,
472, question,71,"(' question', 'NNP')",,,,,,,,
473, shop,71,"(' shop', 'NNP')",,,,,,,,
474, own,71,"(' own', 'NNP')",,,,,,,,
475, damaged,71,"(' damaged', 'VBD')",,,,,,,,
476, process,71,"(' process', 'NNP')",,,,,,,,
477, ask,71,"(' ask', 'NNP')",,,,,,,,
478, pure,71,"(' pure', 'NN')",,,,,,,,
479, relief,71,"(' relief', 'NN')",,,,,,,,
480, instant,71,"(' instant', 'JJ')",,,,,,,,
481, indicate,71,"(' indicate', 'NN')",,,,,,,,
482, convince,71,"(' convince', 'NN')",,,,,,,,
483, commitment,71,"(' commitment', 'JJ')",,,,,,,,
484, acquaintance,71,"(' acquaintance', 'NN')",,,,,,,,
485, along,71,"(' along', 'NNP')",,,,,,,,
486, suppose,71,"(' suppose', 'NNP')",,,,,,,,
487, butts,71,"(' butts', 'NNP')",,,,,,,,
488, wanting,71,"(' wanting', 'VBG')",,,,,,,,
489, pass,71,"(' pass', 'NNP')",,,,,,,,
490, factory,71,"(' factory', 'NN')",,,,,,,,
491, such,71,"(' such', 'JJ')",,,,,,,,
492, subsequent,71,"(' subsequent', 'NNP')",,,,,,,,
493, equally,71,"(' equally', 'RB')",,,,,,,,
494, log,71,"(' log', 'NNP')",,,,,,,,
495, fact,71,"(' fact', 'NNP')",,,,,,,,
496, fool,71,"(' fool', 'NNP')",,,,,,,,
497, superb,71,"(' superb', 'NNP')",,,,,,,,
498, honey,71,"(' honey', 'NNP')",,,,,,,,
